Painting;Museum;City;Country;Location x,y
Supper at Emmaus;The National Gallery;London;England;162,368
Cupid as Victor;Gemaldegalerie Staatliche Museen zu Berlin;Berlin;Germany;301,355
Jael and Sisera;Museum of Fine Arts;Budapest;Hungary;369,435
Judith and Holofernes;Uffizi Gallery;Firenze;Italy;283,498
The Virgin and Child with the infant St John the Baptist;The Kremer Collection;Amsterdam;Netherlands;214,357
Ceres Bacchus and Venus;Muzeul National Brukenthal;Sibiu;Romania;418,452
The Adoration of the Magi;Museum of Fine Arts;Budapest;Hungary;369,435
St Dominic in Penitence;Museo del Greco;Toledo;Spain;79,549
The Nurture of Bacchus;Dulwich Picture Gallery;London;England;162,368
Landscape during a Thunderstorm with Pyramus and thisbe;Stadel Museum;Frankfurt;Germany;254,393
Cornelia Rejecting the Crown of the Ptolemies;Museum of Fine Arts;Budapest;Hungary;369,435
Theseus Finding the Sword and the Shoes of his Father;Museum of Fine Arts;Budapest;Hungary;369,435
The milkmaid;Rijksmuseum;Amsterdam;Netherlands;214,357
Girl with a Pearl Earring;Mauritshuis;Hague;Netherlands;212,362
The Night Watch;Rijksmuseum;Amsterdam;Netherlands;214,357
Jeremiah Lamenting the Destruction of Jerusalem;Rijksmuseum;Amsterdam;Netherlands;214,357
Madonna and Child in the Glory of the Saints;Kunsthalle Bremen;Bremen;Germany;254,350
The Annunciation;SMK - Statens Museum for Kunst;Copenhagen;Denmark;288,303
Still-Life with Flowers;Hallwyl Museum;Stockholm;Sweden;335,239
Still Life with Flowers on a Marble Tabletop;Rijksmuseum;Amsterdam;Netherlands;214,357
Witches' Sabbath;Museo Lazaro Galdiano;Madrid;Spain;101,535
Autorretrato ante el caballete;Real Academia de Bellas Artes de San Fernando;Madrid;Spain;101,535
A Monkey;Walker Art Gallery;Liverpool;England;140,329
Horse Devoured by a Lion;Tate Britain;London;England;162,368
Landscape with the Palace at Caserta and Vesuvius;Museo Nacional Thyssen-Bornemisza;Madrid;Spain;101,535
Italienische Landschaft;Herzog Anton Ulrich-Museum;Braunschweig;Germany;272,366
Apollo and two Muses;The Wilanów Palace Museum;Warsaw;Poland;375,347
Retrato de D Manuel de Roda;Real Academia de Bellas Artes de San Fernando;Madrid;Spain;101,535
The Triumph of Venus;Nationalmuseum Sweden;Stockholm;Sweden;335,239
Madame de Pompadour;Scottish National Gallery;Edinburgh;Scotland;144,293
Gondolas on the Lagoon;Museo Poldi Pezzoli;Milan;Italy;261,473
View of the Giudecca Canal and the Zattere;Museo Nacional Thyssen-Bornemisza;Madrid;Spain;144,293
Still life with kettle;Musee d’Orsay;Paris;France;183,416
Still life;The National Museum of Art;Oslo;Norway;271,232
Sunlight in the blue room;Skagens Museum;Skagen;Denmark;268,273
Interior with clematis;Skagens Museum;Skagen;Denmark;268,273
Landscape from Saint-Remy;Ny Carlsberg Glyptotek;Copenhagen;Denmark;288,303
Green Field;National Gallery;Prague;Czech Republic;324,395
Three Tahitians;Scottish National Gallery;Edinburgh;Scotland;144,293
Arearea;Musee d’Orsay;Paris;France;183,416
The Seine at Courbevoie;Van Gogh Museum;Amsterdam;Netherlands;214,357
La Luzerne Saint-Denis;Scottish National Gallery;Edinburgh;Scotland;144,293
The Oise near Pontoise in Grey Weather;Museum Boijmans Van Beuningen;Rotterdam;Netherlands;211,364
June Morning at Pontoise;Staatliche Kunsthalle Karlsruhe;Karlsruhe;Germany;249,412
Tournee du Chat Noir;Museu Nacional d'Art de Catalunya;Barcelona;Spain;164,530
Cocorico;Museu Nacional d'Art de Catalunya;Barcelona;Spain;164,530
Dziewczynka w niebieskim kapeluszu;Muzeum Narodowe;Cracow;Poland;371,386
Poranek pod Wawelem;Muzeum Narodowe;Cracow;Poland;371,386
